20140901,252390148,260748427
20140902,234111009,232078599
20140903,196391024,251569438
20140904,206149000,245772641
20140905,222570852,226033375
20140906,170675848,173055967
20140907,186757906,181695795
20140908,255897140,274048335
20140909,204016461,234302303
20140910,202063282,229223392
20140911,197070172,222528580
20140912,217258950,214684675
20140913,181010470,190609018
20140914,188096279,183266411
20140915,247622977,273242043
20140916,206786669,238505957
20140917,203232226,210312322
20140918,204538997,216757740
20140919,205597518,221474530
20140920,156725027,173435219
20140921,178210035,191903655
20140922,237948955,242266637
20140923,216187755,230413515
20140924,194088470,189605445
20140925,202933838,205201593
20140926,207486489,207171712
20140927,184073056,172826801
20140928,201019101,183020369
20140929,231543085,259103432
20140930,213909966,225854817
