20140901,257310483,266378993
20140902,325453885,286470381
20140903,148397178,250840558
20140904,241477275,267897540
20140905,226775600,310812866
20140906,186784416,188360816
20140907,166557442,217935042
20140908,284489101,302162375
20140909,328891631,268266322
20140910,170252602,304227912
20140911,223953669,269228613
20140912,191326182,232074361
20140913,149266006,188102891
20140914,183136972,209015781
20140915,347709223,308934604
20140916,246641777,300889636
20140917,144428806,317476230
20140918,251255006,248443467
20140919,221350306,253586491
20140920,156631755,152414231
20140921,148285233,203548959
20140922,296462752,356358270
20140923,217952108,320488466
20140924,144799851,281291941
20140925,254523639,272371572
20140926,213699815,240077219
20140927,144000023,137238008
20140928,143891259,240403809
20140929,264193000,265919571
20140930,248764728,311499914
